name,symbol,rank,market_cap,current_price,syllable_count,character_length,phonetic_score,vowel_ratio,memorability_score,pronounceability_score,uniqueness_score,name_type,has_numbers,has_special_chars,name_type_percentile,price_30d_change,price_90d_change,price_1yr_change,price_ath_change,linguistic_composite,is_mission_positive,is_high_performer,is_breakout,rank_tier,in_linguistic_sweet_spot,mission_resonance_score
Bitcoin Cash,BCH,18,11030737247.0,552.87,4,12,52.73,0.36363636363636365,30.82,0.0,100.0,tech,0,0,,-9.49133429363416,3.1511473072401444,49.8245308799541,-14.117052483382759,45.887499999999996,True,False,False,vanguard,False,54.38
USDS,USDS,22,9067615225.0,0.999746,2,4,70.0,0.25,91.0,45.0,100.0,acronym,0,0,,0.03529118514736278,0.07758630602883818,0.629570873837972,-0.3493110126934163,76.5,True,False,False,vanguard,False,78.88
Binance Bridged USDT (BNB Smart Chain),BSC-USD,23,8982778797.0,0.999759,7,38,28.06,0.2903225806451613,23.42,0.0,100.0,tech,0,1,,-0.022866347719022243,-0.04779802878800358,0.10294649157419147,-1.1211894583403925,37.87,True,False,False,vanguard,False,45.5
Sui,SUI,25,8727874068.0,2.37,1,3,76.67,0.6666666666666666,78.0,56.67,100.0,invented,0,0,,-36.00689293951625,-32.50000603990646,14.193502767448743,-57.464051022209205,77.83500000000001,True,False,False,vanguard,False,80.74
LEO Token,LEO,24,8819998179.0,9.56,2,9,90.0,0.5,82.0,64.29,100.0,tech,0,0,,0.222036293788726,7.128599208191838,57.06333029949765,-3.3997958011507476,84.0725,True,False,False,vanguard,True,88.12
WETH,WETH,26,8542973009.0,3880.11,1,4,70.0,0.25,91.0,35.0,100.0,acronym,0,0,,-13.398480282688357,10.793236194832152,49.531691497721894,-22.11221202229308,74.0,True,False,False,vanguard,False,78.44
Avalanche,AVAX,28,8009895369.0,18.77,1,9,88.89,0.4444444444444444,81.67,28.46,100.0,invented,0,0,,-41.64811545424193,-14.313562897127635,-28.47625032446687,-66.95755608951386,74.755,False,False,False,vanguard,False,61.64
Coinbase Wrapped BTC,CBBTC,29,7843790408.0,110014.0,2,20,36.67,0.3333333333333333,51.0,0.0,100.0,tech,0,0,,-9.094749448939169,-4.413224539104416,53.2242176965779,-13.774791822157297,46.917500000000004,True,False,False,vanguard,False,55.48
Litecoin,LTC,30,7666915185.0,100.24,2,8,90.0,0.5,97.0,64.29,100.0,tech,0,0,,-19.949870967959356,-13.455701966137894,33.24039236334544,-32.6960769255516,87.8225,True,False,False,vanguard,True,90.55
USDT0,USDT0,37,5131412475.0,0.999515,2,5,70.0,0.25,76.0,45.0,100.0,numeric,1,0,,-0.07947439253031127,-0.13470413672714115,0.0,-0.6446494823613097,72.75,False,False,False,vanguard,True,67.6
Hedera,HBAR,27,8332664550.0,0.196057,2,6,100.0,0.5,100.0,56.67,100.0,invented,0,0,,-14.091149765832203,-16.48344872593233,315.97031205120834,-48.737324789501656,89.1675,True,True,True,vanguard,True,96.88
WhiteBIT Coin,WBT,31,7376336311.0,51.18,2,13,73.33,0.4166666666666667,62.0,11.67,100.0,tech,0,0,,-4.723264710469934,-1.9422198021201167,0.0,-20.418101199105347,61.75,False,False,False,vanguard,False,59.27
Monero,XMR,33,6302053647.0,341.29,2,6,100.0,0.5,100.0,56.67,100.0,invented,0,0,,1.7586970045276662,8.38357071116854,105.2672102035118,-23.381095085426253,89.1675,True,False,False,vanguard,True,96.13
Shiba Inu,SHIB,34,5974735444.0,1.014e-05,1,9,80.0,0.5,79.0,49.29,100.0,animal,0,0,,-22.981629226981987,-19.526675263483057,-46.84353988546356,-70.97794749024078,77.07249999999999,False,False,False,vanguard,False,61.54
Mantle,MNT,40,4661066147.0,1.43,2,6,86.67,0.3333333333333333,96.0,26.43,100.0,animal,0,0,,-26.5348334866968,103.15938137783,133.06459939203367,-48.18492284051401,77.275,True,False,False,vanguard,True,83.34
Toncoin,TON,35,5811983773.0,2.3,2,7,100.0,0.42857142857142855,100.0,41.67,100.0,tech,0,0,,-23.270154537138787,-39.705166228721424,-55.79095388680487,-68.95814676949132,85.4175,False,False,False,vanguard,True,68.37
Ethena Staked USDe,SUSDE,38,5006639385.0,1.2,4,18,67.5,0.4375,35.25,0.0,100.0,financial,0,0,,0.11506849282542804,1.3040951231743563,8.222020718676799,-0.14755596622774744,50.6875,True,False,False,vanguard,False,57.65
Cronos,CRO,36,5287795143.0,0.146432,1,6,86.67,0.3333333333333333,96.0,41.67,100.0,invented,0,0,,-29.711754542395436,14.678001090849168,95.40258719504313,-56.85289663406683,81.08500000000001,True,False,False,vanguard,False,86.39
Dai,DAI,41,4629210798.0,0.999606,1,3,76.67,0.6666666666666666,78.0,56.67,100.0,invented,0,0,,0.01661968351541363,-0.040802307575843924,0.12109523311293027,-0.4739070321806214,77.83500000000001,True,False,False,vanguard,False,79.51
Polkadot,DOT,42,4510548273.0,2.96,2,8,75.0,0.375,92.5,35.0,100.0,tech,0,0,,-31.33790520546017,-19.382725559118054,-28.4666643160851,-73.63941766857508,75.625,False,False,False,vanguard,True,62.32
Zcash,ZEC,32,6845807516.0,418.87,1,5,50.0,0.2,85.0,20.0,100.0,financial,0,0,,177.22856603881056,846.5885713311754,806.1514777900367,-5.106870908198506,63.75,True,True,True,vanguard,False,72.52
World Liberty Financial,WLFI,44,3773269585.0,0.138249,6,23,46.67,0.3333333333333333,29.0,0.0,100.0,invented,0,0,,-34.22701395067177,,0.0,-44.382729507076334,43.917500000000004,False,False,False,vanguard,False,43.37
MemeCore,M,43,4119717470.0,2.43,1,8,90.0,0.5,97.0,56.67,100.0,invented,0,0,,10.55865923829042,519.1350698302376,0.0,-11.666357404664673,85.9175,False,False,False,vanguard,False,80.88
Uniswap,UNI,46,3517244114.0,5.86,1,7,100.0,0.42857142857142855,100.0,45.0,100.0,financial,0,0,,-28.630086997758973,-34.5857552440054,-24.400941197634864,-69.27723806442687,86.25,False,False,False,vanguard,False,72.7
Bittensor,TAO,39,4801413722.0,499.36,3,9,56.67,0.3333333333333333,62.0,1.0,100.0,tech,0,0,,26.351689747272932,20.568872436899223,-16.75916073478694,-43.48333217043097,54.917500000000004,False,False,False,vanguard,True,45.67
sUSDS,SUSDS,45,3527412035.0,1.074,2,5,60.0,0.2,88.0,35.0,100.0,invented,0,0,,0.308918839040884,1.0759994083578575,0.0,-0.46788164138496346,70.75,False,False,False,vanguard,True,66.36
Aave,AAVE,47,3413402791.0,223.68,1,4,60.0,0.75,88.0,80.0,100.0,invented,0,0,,-13.110195849619725,-26.129937306132938,64.23369278432716,-41.19815077055052,82.0,True,False,False,vanguard,False,86.74
